url,code,name,total_language_data_available,total_students,JK_GR3,GR4_GR6,GR7_GR8,female,male,primary_not_english,living_in_canada_less_than_2_years,living_in_canada_for_3_5_years
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4708,4708,Poplar Road Junior Public School,206,206,114,92,,97,109,51,3,7
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4664,4664,Port Royal Public School,462,462,248,134,80,219,243,382,8,25
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6195,6195,Portage Trail Community School,524,524,197,137,190,252,272,218,23,48
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1157,1157,Presteign Heights Elementary School,210,210,113,,,111,99,121,1,6
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2053,2053,Princess Margaret Junior School,371,374,273,,,181,193,157,14,23
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5266,5266,Queen Alexandra Middle School,376,376,,,,184,190,147,6,13
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5330,5330,Quest Alternative Senior School,46,46,,,,24,22,8,0,1
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=1163,1163,R H McGregor Elementary School,704,705,506,,,342,360,170,6,9
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3233,3233,R J Lang Elementary and Middle School,383,383,204,,,183,200,306,46,64
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3020,3020,Ranchdale Public School,228,228,181,,,98,130,140,13,21
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6367,6367,Rawlinson Community School,671,671,339,203,129,339,330,227,11,18
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5268,5268,Regal Road Junior Public School,536,536,339,197,,268,268,195,6,12
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4720,4720,Regent Heights Public School,506,506,254,138,114,227,279,403,44,61
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3181,3181,Rene Gordon Health and Wellness Academy,237,237,156,,,128,109,148,36,43
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3234,3234,Rippleton Public School,240,240,161,,,119,121,157,16,12
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2046,2046,Rivercrest Junior School,250,250,190,,,120,130,128,11,10
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4724,4724,Robert Service Senior Public School,180,181,,,,84,97,105,9,13
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3235,3235,Rockford Public School,697,697,418,279,,341,356,501,83,79
